date,spike_score,mean_hybrid_score,anomaly_ratio,n_anom_windows,is_suspicious_day,n_events,n_theft_like_events
2024-11-30,0.4137979366240747,0.1294480500652778,0.0859375,11,False,0,0
2024-12-01,0.8382961352888851,0.14161005153978007,0.0703125,9,True,0,0
2024-12-02,0.466217505441732,0.11479245982921508,0.09016393442622951,11,False,0,0
2024-12-03,0.4307856946588107,0.10436177872780548,0.09090909090909091,13,False,0,0
2024-12-04,0.4324278555499039,0.13317751125695856,0.14634146341463414,12,False,0,0
2024-12-05,0.9058217902390469,0.1271452293444495,0.12222222222222222,11,True,0,0
2024-12-06,0.3970324162558738,0.11149661049292568,0.11188811188811189,16,False,0,0
2024-12-07,0.5342525288907367,0.14005463238217056,0.11347517730496454,16,False,0,0
2024-12-08,0.46633828238715996,0.14349721687027678,0.11678832116788321,16,False,0,0
2024-12-09,0.40720805182487885,0.12395937966659636,0.09090909090909091,12,False,0,0
2024-12-10,0.5609057079877142,0.12936838142680768,0.11940298507462686,16,True,0,0
2024-12-11,0.4028368630128382,0.09982537155791088,0.08571428571428572,12,False,0,0
2024-12-12,0.5479769724270578,0.10867547523839503,0.07142857142857142,10,False,0,0
2024-12-13,0.3815702350724146,0.0890254452752438,0.07746478873239436,11,False,0,0
2024-12-14,0.4898099267275774,0.14272164665175271,0.11805555555555555,17,False,0,0
2024-12-15,0.44711495773882154,0.1301171468513785,0.1,14,False,0,0
2024-12-16,0.5022429393642328,0.14594277180741497,0.1323529411764706,18,False,0,0
2024-12-17,0.64214668743688,0.17077726161791984,0.08256880733944955,9,True,0,0
2024-12-18,0.24615443870630616,0.24615443870630616,0.0,0,False,0,0
2024-12-19,0.30603402103916477,0.18464213671949187,0.025,3,False,0,0
2024-12-20,0.4728436194360284,0.12054008518703842,0.08130081300813008,10,False,0,0
2024-12-21,0.43929660243578045,0.12882261687671598,0.072,9,False,0,0
2024-12-22,0.43835171521304284,0.14198736050287641,0.1346153846153846,7,False,0,0
2024-12-23,0.5333746424505375,0.11306610036388626,0.14285714285714285,17,False,0,0
2024-12-24,0.4224337123787398,0.13530924865600882,0.1651376146788991,18,False,0,0
2024-12-25,0.496380141319512,0.3193152001742961,0.7446808510638298,35,False,0,0
2024-12-26,0.5100121070875162,0.1112500217422104,0.10416666666666667,15,False,0,0
2024-12-27,0.3813729757835212,0.1063116815792259,0.09090909090909091,13,False,0,0
2024-12-28,0.4848398535642114,0.1243018300453298,0.1056338028169014,15,False,0,0
2024-12-29,0.5129116973583844,0.15000455404848942,0.11888111888111888,17,False,0,0
2024-12-30,0.45417573214677065,0.11709878923046817,0.15492957746478872,22,False,0,0
2024-12-31,0.4665730957171958,0.10195775888646741,0.09859154929577464,14,False,0,0
2025-01-01,0.459033979320453,0.12622569108611906,0.1048951048951049,15,False,0,0
2025-01-02,0.7953975469420049,0.11295055996950296,0.12371134020618557,12,True,0,0
2025-01-03,0.4548208064840959,0.1298458388105169,0.1111111111111111,16,False,0,0
2025-01-04,0.4638375211455879,0.12560506347280687,0.07894736842105263,9,False,0,0
2025-01-05,0.5041234152086841,0.12456754191753992,0.11888111888111888,17,False,0,0
2025-01-06,0.44977585359378813,0.12363027843383365,0.09929078014184398,14,False,0,0
2025-01-07,0.4874623443552184,0.12820705810218933,0.14925373134328357,20,False,0,0
2025-01-08,0.49392979535476794,0.11097587609470304,0.1258741258741259,18,False,0,0
2025-01-09,0.4562857529272918,0.1205620769756932,0.11764705882352941,16,False,0,0
2025-01-10,0.5024278760703915,0.09710273635204868,0.07692307692307693,11,False,0,0
2025-01-11,0.4534716966087309,0.14067912715690942,0.09859154929577464,14,False,0,0
2025-01-12,0.3304411479134196,0.14086888351779428,0.023622047244094488,3,False,0,0
2025-01-13,0.42920454581503503,0.1025848890873177,0.05384615384615385,7,False,0,0
2025-01-14,0.3810177729618363,0.10314383903824464,0.03816793893129771,5,False,0,0
2025-01-15,0.41121772565568093,0.09937934064985289,0.07874015748031496,10,False,0,0
2025-01-16,0.3983555378494946,0.11573337626537682,0.046511627906976744,6,False,0,0
2025-01-17,0.4587859652209015,0.10716571739400006,0.07692307692307693,9,False,0,0
2025-01-18,0.4461052306000289,0.12382009100827256,0.08759124087591241,12,False,0,0
2025-01-19,0.4640511341671126,0.13741897043279355,0.08391608391608392,12,False,0,0
2025-01-20,0.4433527474090898,0.10357569778023672,0.06299212598425197,8,False,0,0
2025-01-21,0.5205644494710917,0.09646139184646982,0.0851063829787234,12,False,0,0
2025-01-22,0.47218981595000337,0.11748964720292815,0.13513513513513514,15,False,0,0
2025-01-23,0.43346543103634877,0.10127952964055854,0.10416666666666667,15,False,0,0
2025-01-24,0.49588745919722904,0.09725735793410391,0.08391608391608392,12,False,0,0
2025-01-25,0.5566604246056835,0.13798529513554045,0.13380281690140844,19,False,0,0
2025-01-26,0.5667505019644251,0.15042605588109087,0.09230769230769231,12,True,0,0
2025-01-27,0.47266454314586703,0.13381999601678357,0.13846153846153847,18,False,0,0
2025-01-28,0.4943103565257374,0.10979375984885723,0.06993006993006994,10,False,0,0
2025-01-29,0.398943035324943,0.11724583611860306,0.09285714285714286,13,False,0,0
2025-01-30,0.3994761585008849,0.10464754860166064,0.07092198581560284,10,False,0,0
2025-01-31,0.4628652239244822,0.10780957159823516,0.08333333333333333,12,False,0,0
2025-02-01,0.5685243148534986,0.1460394408849439,0.11510791366906475,16,True,0,0
2025-02-02,0.5070194935685363,0.15001708153217178,0.11188811188811189,16,False,0,0
2025-02-03,0.4533422803432268,0.14178971589334585,0.11188811188811189,16,False,0,0
