date,n_windows,n_anom_windows,anomaly_ratio,max_hybrid_score,mean_hybrid_score,suspicion_threshold,is_suspicious_day,energy_night_kwh,energy_morning_kwh,energy_afternoon_kwh,energy_evening_kwh,total_energy_kwh
2024-11-30,128,11,0.0859375,0.4137979366240747,0.1294480500652778,0.5587830662966988,False,0.6572686111111111,1.1941040833333334,0.7574330694444444,1.405814013888889,4.014619777777778
2024-12-01,128,9,0.0703125,0.8382961352888851,0.14161005153978007,0.5587830662966988,True,0.5525509861111111,1.9991429722222223,0.8439076944444445,1.0092106944444446,4.404812347222222
2024-12-02,122,11,0.09016393442622951,0.466217505441732,0.11479245982921508,0.5587830662966988,False,0.4267241388888889,1.7161423472222224,1.7654435694444446,1.7613230972222222,5.669633152777778
2024-12-03,143,13,0.09090909090909091,0.4307856946588107,0.10436177872780548,0.5587830662966988,False,0.7901183055555556,2.590944388888889,1.3892635277777778,1.5809207777777778,6.351247000000001
2024-12-04,82,12,0.14634146341463414,0.4324278555499039,0.13317751125695856,0.5587830662966988,False,0.775053375,3.1650539583333335,0.12632623611111113,0.0,4.0664335694444445
2024-12-05,90,11,0.12222222222222222,0.9058217902390469,0.1271452293444495,0.5587830662966988,True,0.0,1.5109787222222222,0.9501558888888889,1.2783227361111111,3.7394573472222223
2024-12-06,143,16,0.11188811188811189,0.3970324162558738,0.11149661049292568,0.5587830662966988,False,0.7818872916666667,2.7722387083333335,1.573837513888889,1.4092874166666667,6.5372509305555555
2024-12-07,141,16,0.11347517730496454,0.5342525288907367,0.14005463238217056,0.5587830662966988,False,1.2298062222222224,1.688032527777778,2.666552013888889,1.7067577361111113,7.2911485
2024-12-08,137,16,0.11678832116788321,0.46633828238715996,0.14349721687027678,0.5587830662966988,False,1.0939870555555555,3.110342027777778,0.792613263888889,1.532040888888889,6.528983236111111
2024-12-09,132,12,0.09090909090909091,0.40720805182487885,0.12395937966659636,0.5587830662966988,False,0.7116528333333334,1.8080775694444444,0.42319979166666666,1.814785388888889,4.757715583333334
2024-12-10,134,16,0.11940298507462686,0.5609057079877142,0.12936838142680768,0.5587830662966988,True,1.2432070138888889,2.322782625,1.6120428611111113,1.4867153472222223,6.6647478472222215
2024-12-11,140,12,0.08571428571428572,0.4028368630128382,0.09982537155791088,0.5587830662966988,False,1.6397993194444445,1.5950779583333334,1.0712931805555557,1.333293027777778,5.6394634861111115
2024-12-12,140,10,0.07142857142857142,0.5479769724270578,0.10867547523839503,0.5587830662966988,False,1.3684108194444444,2.2682990000000003,1.4491111111111112,1.245402736111111,6.331223666666667
2024-12-13,142,11,0.07746478873239436,0.3815702350724146,0.0890254452752438,0.5587830662966988,False,0.8855342777777778,2.3704102222222225,0.928363013888889,1.3966447222222222,5.580952236111111
2024-12-14,144,17,0.11805555555555555,0.4898099267275774,0.14272164665175271,0.5587830662966988,False,0.7633175972222223,3.192421527777778,0.6138639027777778,1.3686480833333334,5.938251111111112
2024-12-15,140,14,0.1,0.44711495773882154,0.1301171468513785,0.5587830662966988,False,0.5888621944444444,1.5982760694444444,0.89676625,1.409862152777778,4.493766666666668
2024-12-16,136,18,0.1323529411764706,0.5022429393642328,0.14594277180741497,0.5587830662966988,False,0.724295,2.3666424722222223,0.45583636111111114,1.6035587777777778,5.150332611111112
2024-12-17,109,9,0.08256880733944955,0.64214668743688,0.17077726161791984,0.5587830662966988,True,0.7278874861111111,1.8691018055555557,0.21490944444444443,1.3846969305555556,4.196595666666667
2024-12-18,123,0,0.0,0.24615443870630616,0.24615443870630616,0.5587830662966988,False,2.9571610416666667,2.2008174444444446,2.9294259444444446,2.9436682916666665,11.031072722222222
2024-12-19,120,3,0.025,0.30603402103916477,0.18464213671949187,0.5587830662966988,False,2.9571610416666667,2.421948625,1.3686334722222222,0.9456209027777778,7.693364041666666
2024-12-20,123,10,0.08130081300813008,0.4728436194360284,0.12054008518703842,0.5587830662966988,False,0.51555625,2.2401506666666666,1.2453538194444445,0.9308630138888889,4.931923749999999
2024-12-21,125,9,0.072,0.43929660243578045,0.12882261687671598,0.5587830662966988,False,0.5257670416666667,1.54475725,0.8299779583333333,0.7655514166666667,3.6660536666666665
2024-12-22,52,7,0.1346153846153846,0.43835171521304284,0.14198736050287641,0.5587830662966988,False,0.5232359444444444,0.8663582916666667,0.0,0.4612620416666667,1.8508562777777777
2024-12-23,119,17,0.14285714285714285,0.5333746424505375,0.11306610036388626,0.5587830662966988,False,1.1071058194444445,2.253464458333333,0.9801553055555556,1.5235315694444445,5.864257152777778
2024-12-24,109,18,0.1651376146788991,0.4224337123787398,0.13530924865600882,0.5587830662966988,False,1.0207401111111112,1.768416527777778,1.0635749583333334,0.7839290833333333,4.636660680555556
2024-12-25,47,35,0.7446808510638298,0.496380141319512,0.3193152001742961,0.5587830662966988,False,0.0,0.0,0.0,0.2654364027777778,0.2654364027777778
2024-12-26,144,15,0.10416666666666667,0.5100121070875162,0.1112500217422104,0.5587830662966988,False,0.6533655694444445,1.939941375,1.5344839444444445,1.3540066805555555,5.481797569444444
2024-12-27,143,13,0.09090909090909091,0.3813729757835212,0.1063116815792259,0.5587830662966988,False,0.752662375,2.377324861111111,1.3640460277777777,1.2505437083333333,5.744576972222221
2024-12-28,142,15,0.1056338028169014,0.4848398535642114,0.1243018300453298,0.5587830662966988,False,0.8733546111111111,1.9137124861111112,1.3100148472222222,1.3259983472222223,5.4230802916666665
