date,energy_night_kwh,energy_morning_kwh,energy_afternoon_kwh,energy_evening_kwh,total_energy_kwh
2024-11-30,0.6572686111111111,1.1941040833333334,0.7574330694444444,1.405814013888889,4.014619777777778
2024-12-01,0.5525509861111111,1.9991429722222223,0.8439076944444445,1.0092106944444446,4.404812347222222
2024-12-02,0.4267241388888889,1.7161423472222224,1.7654435694444446,1.7613230972222222,5.669633152777778
2024-12-03,0.7901183055555556,2.590944388888889,1.3892635277777778,1.5809207777777778,6.351247000000001
2024-12-04,0.775053375,3.1650539583333335,0.12632623611111113,0.0,4.0664335694444445
2024-12-05,0.0,1.5109787222222222,0.9501558888888889,1.2783227361111111,3.7394573472222223
2024-12-06,0.7818872916666667,2.7722387083333335,1.573837513888889,1.4092874166666667,6.5372509305555555
2024-12-07,1.2298062222222224,1.688032527777778,2.666552013888889,1.7067577361111113,7.2911485
2024-12-08,1.0939870555555555,3.110342027777778,0.792613263888889,1.532040888888889,6.528983236111111
2024-12-09,0.7116528333333334,1.8080775694444444,0.42319979166666666,1.814785388888889,4.757715583333334
2024-12-10,1.2432070138888889,2.322782625,1.6120428611111113,1.4867153472222223,6.6647478472222215
2024-12-11,1.6397993194444445,1.5950779583333334,1.0712931805555557,1.333293027777778,5.6394634861111115
2024-12-12,1.3684108194444444,2.2682990000000003,1.4491111111111112,1.245402736111111,6.331223666666667
2024-12-13,0.8855342777777778,2.3704102222222225,0.928363013888889,1.3966447222222222,5.580952236111111
2024-12-14,0.7633175972222223,3.192421527777778,0.6138639027777778,1.3686480833333334,5.938251111111112
2024-12-15,0.5888621944444444,1.5982760694444444,0.89676625,1.409862152777778,4.493766666666668
2024-12-16,0.724295,2.3666424722222223,0.45583636111111114,1.6035587777777778,5.150332611111112
2024-12-17,0.7278874861111111,1.8691018055555557,0.21490944444444443,1.3846969305555556,4.196595666666667
2024-12-18,2.9571610416666667,2.2008174444444446,2.9294259444444446,2.9436682916666665,11.031072722222222
2024-12-19,2.9571610416666667,2.421948625,1.3686334722222222,0.9456209027777778,7.693364041666666
2024-12-20,0.51555625,2.2401506666666666,1.2453538194444445,0.9308630138888889,4.931923749999999
2024-12-21,0.5257670416666667,1.54475725,0.8299779583333333,0.7655514166666667,3.6660536666666665
2024-12-22,0.5232359444444444,0.8663582916666667,0.0,0.4612620416666667,1.8508562777777777
2024-12-23,1.1071058194444445,2.253464458333333,0.9801553055555556,1.5235315694444445,5.864257152777778
2024-12-24,1.0207401111111112,1.768416527777778,1.0635749583333334,0.7839290833333333,4.636660680555556
2024-12-25,0.0,0.0,0.0,0.2654364027777778,0.2654364027777778
2024-12-26,0.6533655694444445,1.939941375,1.5344839444444445,1.3540066805555555,5.481797569444444
2024-12-27,0.752662375,2.377324861111111,1.3640460277777777,1.2505437083333333,5.744576972222221
2024-12-28,0.8733546111111111,1.9137124861111112,1.3100148472222222,1.3259983472222223,5.4230802916666665
2024-12-29,0.8432857777777778,2.5430293055555557,0.6529496666666667,1.7925048611111112,5.8317696111111115
2024-12-30,0.7778758888888889,3.243147027777778,1.10842525,1.2061939444444445,6.3356421111111105
2024-12-31,0.7094122222222222,2.1177335694444444,0.6466144027777778,1.6493839166666668,5.123144111111111
2025-01-01,0.9025182916666667,3.3902867361111113,1.8983619861111112,1.1969696805555556,7.388136694444444
2025-01-02,0.7036897916666667,1.6986448055555556,0.0,1.24903225,3.6513668472222225
2025-01-03,0.7263837777777779,2.976572138888889,1.572724277777778,1.3263659722222223,6.602046166666668
2025-01-04,0.7508280555555555,1.1689830833333335,1.2260110277777778,1.2700765833333334,4.41589875
2025-01-05,0.7485655555555556,2.475582277777778,1.0949554166666666,1.4493200416666667,5.768423291666666
2025-01-06,0.7657357638888889,2.7629294444444445,1.3813371666666667,1.3809832361111112,6.290985611111111
2025-01-07,0.7294272083333334,2.7886959722222224,0.40604493055555557,1.3642700555555556,5.288438166666667
2025-01-08,0.6180450416666667,4.052820430555555,0.9798934027777778,1.0354154861111111,6.686174361111111
2025-01-09,1.3140310416666667,2.044481222222222,1.2338831527777778,1.0007023611111112,5.5930977777777775
2025-01-10,0.9871745972222222,2.0389726805555557,1.0665774861111113,1.2163911527777778,5.309115916666667
2025-01-11,0.6609668750000001,2.503727416666667,0.6647133611111111,0.5001871388888889,4.3295947916666675
2025-01-12,0.42652075,0.3741697638888889,0.5317776666666667,0.8734428055555555,2.2059109861111112
2025-01-13,0.46636180555555556,0.975934875,1.5174652361111112,0.7741540694444444,3.7339159861111106
2025-01-14,0.3952974166666667,1.7247976111111112,0.8707575555555556,1.0110724722222222,4.001925055555556
2025-01-15,0.9539422222222222,1.3421948333333333,0.8390979027777778,0.8736623055555556,4.008897263888889
2025-01-16,0.46880375,1.1725240138888888,0.7282106805555556,0.8695494166666667,3.239087861111111
2025-01-17,0.5867965694444445,1.5438023194444446,0.3364850833333333,1.375094013888889,3.8421779861111114
2025-01-18,1.3215205277777777,1.2868625416666668,0.5947704027777778,1.036753,4.239906472222223
2025-01-19,0.6130086944444445,1.5920865,0.5585428194444445,0.8724282083333333,3.6360662222222224
2025-01-20,0.5745077361111112,2.3014243333333333,0.6972355416666667,0.8408797222222223,4.414047333333333
2025-01-21,0.5846137638888889,2.3112412222222223,1.4154941666666667,1.1332325694444445,5.444581722222223
2025-01-22,0.92148775,2.9223206805555555,0.6277893055555556,1.6730271388888889,6.144624875000001
2025-01-23,0.7575721111111111,2.416444972222222,1.0006524305555555,1.9844785972222223,6.159148111111111
