window_id,start_time,end_time,start_idx,end_idx,if_score,ae_score,hybrid_score,if_is_anomaly,ae_is_anomaly,hybrid_is_anomaly
40,2024-11-30 07:18:00,2024-11-30 07:28:50,4800,4920,0.6006960191139635,0.13508914846959763,0.3678925837917806,True,True,True
41,2024-11-30 07:28:55,2024-11-30 07:39:45,4920,5040,0.12800008358425724,0.07904641735923666,0.10352325047174696,False,False,False
42,2024-11-30 07:39:50,2024-11-30 08:22:20,5040,5160,0.14509621816544319,0.03198725864302706,0.08854173840423513,False,False,False
43,2024-11-30 08:22:25,2024-11-30 08:33:15,5160,5280,0.25606575063248155,0.049876209590445586,0.15297098011146357,False,False,False
44,2024-11-30 08:33:20,2024-11-30 08:44:10,5280,5400,0.272963092424892,0.051036210078730965,0.16199965125181148,False,False,False
45,2024-11-30 08:44:15,2024-11-30 08:55:05,5400,5520,0.17520588715601132,0.011317757662229595,0.09326182240912045,False,False,False
46,2024-11-30 08:55:10,2024-11-30 09:06:00,5520,5640,0.2480416755766423,0.027975257470315533,0.13800846652347892,False,False,False
47,2024-11-30 09:06:05,2024-11-30 09:16:55,5640,5760,0.23733755946653345,0.033863960712212364,0.1356007600893729,False,False,False
48,2024-11-30 09:17:00,2024-11-30 09:27:55,5760,5880,0.1923045036264461,0.013576952139240608,0.10294072788284336,False,False,False
49,2024-11-30 09:28:00,2024-11-30 09:38:50,5880,6000,0.34251662067331307,0.07982125504783116,0.21116893786057211,False,False,False
50,2024-11-30 09:38:55,2024-11-30 09:49:45,6000,6120,0.6409649869484525,0.11399974326510322,0.37748236510677785,True,True,True
51,2024-11-30 09:49:50,2024-11-30 10:00:40,6120,6240,0.44575106383940627,0.07286741051015252,0.2593092371747794,False,False,False
52,2024-11-30 10:00:45,2024-11-30 10:11:35,6240,6360,0.43121509154144155,0.059634239970352304,0.24542466575589694,False,False,False
53,2024-11-30 10:11:40,2024-11-30 10:22:35,6360,6480,0.2159939856543444,0.015912191117341917,0.11595308838584316,False,False,False
54,2024-11-30 10:22:40,2024-11-30 10:33:35,6480,6600,0.17698413620852685,0.017331166957030585,0.09715765158277871,False,False,False
55,2024-11-30 10:33:40,2024-11-30 10:44:25,6600,6720,0.33078991638457633,0.0330051394073249,0.18189752789595062,False,False,False
56,2024-11-30 10:44:35,2024-11-30 10:55:25,6720,6840,0.3228336888208173,0.025571602692326702,0.17420264575657202,False,False,False
57,2024-11-30 10:55:35,2024-11-30 11:06:20,6840,6960,0.09812439223890569,0.010683006070190286,0.054403699154547985,False,False,False
58,2024-11-30 11:06:25,2024-11-30 11:17:15,6960,7080,0.13985471214498132,0.08575145398978536,0.11280308306738335,False,False,False
59,2024-11-30 11:17:20,2024-11-30 11:28:15,7080,7200,0.16650721435809188,0.07802374180726188,0.12226547808267688,False,False,False
60,2024-11-30 11:28:20,2024-11-30 11:39:10,7200,7320,0.150070728151971,0.0046389135986988055,0.0773548208753349,False,False,False
61,2024-11-30 11:39:15,2024-11-30 11:50:05,7320,7440,0.14138712025223876,0.006892331465180525,0.07413972585870965,False,False,False
62,2024-11-30 11:50:10,2024-11-30 12:01:00,7440,7560,0.274733603789152,0.022518626958066893,0.14862611537360945,False,False,False
63,2024-11-30 12:01:05,2024-11-30 12:11:55,7560,7680,0.311489083986187,0.03369397301707355,0.1725915285016303,False,False,False
64,2024-11-30 12:12:00,2024-11-30 12:36:20,7680,7800,0.539024829620286,0.03240701320283121,0.2857159214115586,True,False,True
65,2024-11-30 12:36:25,2024-11-30 12:47:15,7800,7920,0.09707454571036715,0.011786019952624446,0.0544302828314958,False,False,False
66,2024-11-30 12:47:20,2024-11-30 12:58:10,7920,8040,0.1276771166706192,0.006156082809836334,0.06691659974022778,False,False,False
67,2024-11-30 12:58:15,2024-11-30 13:09:05,8040,8160,0.21806008339208904,0.05108490627496446,0.13457249483352676,False,False,False
68,2024-11-30 13:09:10,2024-11-30 13:20:00,8160,8280,0.26222227162869094,0.021377069773016334,0.14179967070085364,False,False,False
69,2024-11-30 13:20:05,2024-11-30 13:30:55,8280,8400,0.16548049363567746,0.019285414323564603,0.09238295397962103,False,False,False
70,2024-11-30 13:31:00,2024-11-30 13:41:50,8400,8520,0.1355979981225102,0.004587805457970593,0.0700929017902404,False,False,False
71,2024-11-30 13:41:55,2024-11-30 13:52:40,8520,8640,0.13288356240436627,0.008770712402941153,0.0708271374036537,False,False,False
72,2024-11-30 13:52:50,2024-11-30 14:03:35,8640,8760,0.2089446896859207,0.036667046247672946,0.12280586796679682,False,False,False
73,2024-11-30 14:03:40,2024-11-30 14:14:30,8760,8880,0.24923962950650885,0.02709951583088023,0.13816957266869453,False,False,False
74,2024-11-30 14:14:35,2024-11-30 14:25:25,8880,9000,0.22382391732668083,0.04720598956160068,0.13551495344414075,False,False,False
75,2024-11-30 14:25:30,2024-11-30 14:36:20,9000,9120,0.11498898557707014,0.007431086834863981,0.061210036205967065,False,False,False
76,2024-11-30 14:36:25,2024-11-30 14:47:15,9120,9240,0.1807687809577086,0.012900018194746846,0.09683439957622772,False,False,False
77,2024-11-30 14:47:20,2024-11-30 14:58:10,9240,9360,0.27636856727535447,0.038513976288404056,0.15744127178187928,False,False,False
78,2024-11-30 14:58:15,2024-11-30 15:09:05,9360,9480,0.270126401664663,0.023662082657313236,0.14689424216098812,False,False,False
79,2024-11-30 15:09:10,2024-11-30 15:20:00,9480,9600,0.15757509797159963,0.019085535423168067,0.08833031669738385,False,False,False
80,2024-11-30 15:20:05,2024-11-30 15:30:55,9600,9720,0.10998346847623773,0.008656121134792494,0.059319794805515115,False,False,False
81,2024-11-30 15:31:00,2024-11-30 15:41:55,9720,9840,0.22313540410207855,0.03501154186894838,0.12907347298551347,False,False,False
82,2024-11-30 15:42:00,2024-11-30 15:52:55,9840,9960,0.22619541636587362,0.1085947925265067,0.16739510444619016,False,True,False
83,2024-11-30 15:53:00,2024-11-30 16:04:00,9960,10080,0.24032323640645076,0.10664815307452367,0.17348569474048722,False,True,False
84,2024-11-30 16:04:05,2024-11-30 16:15:00,10080,10200,0.137701742244258,0.037615047831798046,0.08765839503802803,False,False,False
85,2024-11-30 16:15:05,2024-11-30 16:25:55,10200,10320,0.17835875683205724,0.00639695506620558,0.09237785594913141,False,False,False
86,2024-11-30 16:26:00,2024-11-30 16:36:50,10320,10440,0.20079657759760058,0.07872961769991547,0.13976309764875802,False,False,False
87,2024-11-30 16:36:55,2024-11-30 16:47:50,10440,10560,0.15658250885022565,0.07168440058412494,0.11413345471717529,False,False,False
88,2024-11-30 16:47:55,2024-11-30 16:58:40,10560,10680,0.6787370455132461,0.1246541051559204,0.4016955753345832,True,True,True
89,2024-11-30 16:58:50,2024-11-30 17:09:35,10680,10800,0.1254941769199499,0.021513369234505846,0.07350377307722787,False,False,False
90,2024-11-30 17:09:40,2024-11-30 17:20:30,10800,10920,0.16441054842166145,0.005443146384461917,0.08492684740306168,False,False,False
91,2024-11-30 17:20:35,2024-11-30 17:31:25,10920,11040,0.15367517683736526,0.03769406759564626,0.09568462221650575,False,False,False
92,2024-11-30 17:31:30,2024-11-30 17:42:20,11040,11160,0.16538322488965762,0.0319076041934112,0.09864541454153442,False,False,False
93,2024-11-30 17:42:25,2024-11-30 17:53:15,11160,11280,0.14107240832517615,0.051105848133743075,0.09608912822945961,False,False,False
94,2024-11-30 17:53:20,2024-11-30 18:04:15,11280,11400,0.681604495050428,0.04892414768033972,0.36526432136538384,True,False,True
95,2024-11-30 18:04:20,2024-11-30 18:15:10,11400,11520,0.7925791984619885,0.035016674786160926,0.4137979366240747,True,False,True
96,2024-11-30 18:15:15,2024-11-30 18:26:05,11520,11640,0.15863541768938075,0.019529675497062166,0.08908254659322146,False,False,False
97,2024-11-30 18:26:10,2024-11-30 18:37:00,11640,11760,0.1273204724814755,0.03534563602254942,0.08133305425201245,False,False,False
98,2024-11-30 18:37:05,2024-11-30 18:47:55,11760,11880,0.10420064272200763,0.03453271441634283,0.06936667856917522,False,False,False
99,2024-11-30 18:48:00,2024-11-30 18:58:50,11880,12000,0.18086830467077258,0.0034970217485546093,0.09218266320966359,False,False,False
100,2024-11-30 18:58:55,2024-11-30 19:09:40,12000,12120,0.19336257511190982,0.003683832427422092,0.09852320376966596,False,False,False
101,2024-11-30 19:09:50,2024-11-30 19:20:35,12120,12240,0.10457331114640363,0.023360471111558326,0.06396689112898098,False,False,False
102,2024-11-30 19:20:40,2024-11-30 19:31:30,12240,12360,0.11801128679586347,0.0554312953859555,0.08672129109090948,False,False,False
103,2024-11-30 19:31:35,2024-11-30 19:42:25,12360,12480,0.1942113909274847,0.06357559424255206,0.1288934925850184,False,False,False
104,2024-11-30 19:42:35,2024-11-30 19:53:25,12480,12600,0.30974386436409534,0.002581900836657208,0.15616288260037628,False,False,False
105,2024-11-30 19:53:30,2024-11-30 20:04:20,12600,12720,0.21244826350369006,0.0032091526047347742,0.10782870805421242,False,False,False
106,2024-11-30 20:04:25,2024-11-30 20:15:15,12720,12840,0.15926284582119374,0.04780373606325521,0.10353329094222448,False,False,False
107,2024-11-30 20:15:20,2024-11-30 20:26:10,12840,12960,0.15338384472692373,0.06272382376994792,0.10805383424843583,False,False,False
